id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
871580545654151507,Rental unit in Málaga · ★5.0 · 1 bedroom · 1 bed · 1 bath,451597464,Coeo,,Centro,36.7207193,-4.420838499999999,Entire home/apt,186,1,6,2023-08-12,0.71,15,330,6,CTC-2023047104
871590872710842941,Rental unit in Málaga · Studio · 1 bed · 1 bath,451597464,Coeo,,Centro,36.7207193,-4.420838499999999,Entire home/apt,162,1,2,2023-05-04,0.24,15,323,2,CTC-2023047104
871593449221377499,Rental unit in Málaga · 1 bedroom · 1 bed · 1 bath,451597464,Coeo,,Centro,36.7207193,-4.420838499999999,Entire home/apt,219,1,2,2023-12-17,0.38,15,334,2,CTC-2023047104
871595159325067531,Rental unit in Málaga · ★4.40 · 1 bedroom · 1 bed · 1 bath,451597464,Coeo,,Centro,36.7207193,-4.420838499999999,Entire home/apt,454,1,5,2023-11-01,0.93,15,208,5,CTC-2023047104
871658177585154461,Rental unit in Málaga · ★4.27 · Studio · 1 bed · 1 bath,509403045,Eugenia,,Bailen-Miraflores,36.72195,-4.43281,Entire home/apt,72,3,15,2023-11-04,1.95,1,6,15,VFT/MA/24886
872271127104677911,Home in Málaga · 5 bedrooms · 5 beds · 4 baths,141531383,Novasol,,Centro,36.7286063,-4.4103759,Entire home/apt,552,1,1,2023-08-30,0.24,1,0,1,VFT/MA/63302
872313574105192563,Rental unit in Málaga · ★4.69 · 1 bedroom · 1 bed · 1 bath,453765134,Inmaculada,,Este,36.72108,-4.34964,Entire home/apt,67,7,13,2023-08-20,1.59,2,197,13,VFT/MA/63160
872336388597048283,Rental unit in Málaga · ★4.50 · 1 bedroom · 1 bed · 1 bath,244482777,Karim,,Centro,36.7234099,-4.4186208,Entire home/apt,80,2,20,2023-12-09,2.41,5,246,20,VFT/MA/52651
872390458682746440,Rental unit in Málaga · ★4.52 · 2 bedrooms · 3 beds · 1 bath,510642128,Salvatore,,Carretera de Cadiz,36.6860611,-4.4485085,Entire home/apt,106,1,26,2023-11-27,3.25,1,0,26,VFT/MA/61171
872541845150436534,Rental unit in Málaga · ★4.83 · 1 bedroom · 2 beds · 2 baths,206156813,Gerardo,,Centro,36.725528605936795,-4.413838964418031,Entire home/apt,79,2,18,2023-12-09,3.16,1,305,18,VFT/MA/62175
872842014880781707,Rental unit in Málaga · ★4.78 · 3 bedrooms · 3 beds · 2 baths,510742821,Begoña,,Cruz De Humilladero,36.720140802434,-4.437554240059218,Entire home/apt,147,4,9,2023-11-12,2.41,1,233,9,VFT/MA/62174
872869478765162561,Rental unit in Málaga · 2 bedrooms · 3 beds · 2 baths,415234854,Isabel,,Centro,36.7207356979265,-4.4042787704790545,Entire home/apt,238,3,1,2023-09-30,0.32,2,285,1,VFT/MA/61673
872918184309485359,Rental unit in Málaga · ★4.79 · 2 bedrooms · 2 beds · 1 bath,79418042,INMálaga,,Centro,36.7222796,-4.419917,Entire home/apt,150,1,24,2023-12-17,3.65,38,267,24,CTC-2016094655
873015363211560221,Rental unit in Málaga · ★5.0 · 2 bedrooms · 3 beds · 1 bath,453777166,Fran Y Manu,,Carretera de Cadiz,36.68568946202059,-4.449306803242866,Entire home/apt,89,1,13,2023-11-05,2.47,26,328,13,VFT/MA/68492
873110180971235608,Home in Málaga · ★4.50 · 4 bedrooms · 6 beds · 2 baths,510277676,Pedro,,Cruz De Humilladero,36.7179768,-4.447945199999999,Entire home/apt,176,3,6,2023-08-27,1.12,1,70,6,VFT/MA/63561
873174747358388567,Rental unit in Málaga · ★5.0 · 1 bedroom · 1 bed · 1 bath,115644805,Melanie,,Centro,36.711160426285275,-4.427185301825197,Entire home/apt,79,3,11,2023-11-27,2.28,2,88,11,VFT/MA/63270
873540173964643208,Rental unit in Málaga · 2 bedrooms · 3 beds · 2 baths,469211146,Holidu,,Centro,36.7145465115175,-4.42748944523009,Entire home/apt,117,1,0,,,7,359,0,VFT/MA/37843
873632266670527801,Rental unit in Málaga · 3 bedrooms · 3 beds · 1 bath,217527993,Samanta,,Carretera de Cadiz,36.6983541257993,-4.445326558197027,Entire home/apt,76,3,0,,,2,120,0,VFT/MA/52559
873668992138360377,Rental unit in Málaga · ★5.0 · 2 bedrooms · 4 beds · 2 baths,467121082,Iberican,,Este,36.7207,-4.36074,Entire home/apt,105,4,9,2023-12-10,1.60,3,344,9,VFT/MA/65508
873739369549579710,Rental unit in Málaga · ★4.63 · 3 bedrooms · 3 beds · 2 baths,507274875,Calu Homes,,Carretera de Cadiz,36.7084533,-4.4328213,Entire home/apt,120,2,8,2023-11-20,1.12,4,359,8,VFT/MA/59644
873763951753426927,Rental unit in Málaga · ★5.0 · 2 bedrooms · 4 beds · 1 bath,510920766,Miguel,,Carretera de Cadiz,36.6856,-4.44704,Entire home/apt,139,3,3,2023-08-14,0.47,1,50,3,CTC-2023082955
873914314158429231,Rental unit in Málaga · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,476242112,Crystal,,Centro,36.72517,-4.41249,Private room,39,3,8,2023-12-13,1.02,3,40,8,Exempt
873918936256346698,Rental unit in Málaga · ★5.0 · 2 bedrooms · 2 beds · 1 private bath,78215254,Elena,,Carretera de Cadiz,36.69368,-4.44533,Private room,70,2,9,2023-09-17,1.28,1,91,9,VFT/MA/64191
874043958154771066,Home in Málaga · ★4.40 · 1 bedroom · 1 bed · 1 bath,511001498,Olga,,Centro,36.73267,-4.41625,Private room,28,2,15,2023-12-15,1.90,3,120,15,Exempt
874335161334188603,Rental unit in Málaga · ★4.84 · 1 bedroom · 2 beds · 1 bath,20487771,Simona,,Centro,36.7282411,-4.4215146,Entire home/apt,65,2,31,2023-12-04,3.89,2,345,31,VFT/MA/61519
874380983829639456,Rental unit in Málaga · ★4.86 · 2 bedrooms · 3 beds · 2 baths,239351606,Maria,,Teatinos-Universidad,36.71907,-4.48925,Entire home/apt,100,6,7,2023-08-27,1.19,1,193,7,Exempt
874383266315942342,Rental unit in Málaga · 1 bedroom · 2 beds · 1 bath,152016953,Del Parque Flats,,Centro,36.7130357,-4.4270258,Entire home/apt,87,1,2,2023-10-23,0.62,60,364,2,VFT/MA/52369
874406080153392207,Rental unit in Málaga · ★4.93 · 1 bedroom · 1 bed · 1 bath,132445721,Ignacio,,Cruz De Humilladero,36.718109999999996,-4.440025,Entire home/apt,113,2,28,2023-12-16,3.77,1,327,28,VFT/MA/63780
874564968811597790,Rental unit in Málaga · ★4.90 · 3 bedrooms · 3 beds · 1 bath,381837468,Carlos,,Cruz De Humilladero,36.71123,-4.4425,Entire home/apt,109,6,10,2023-08-20,1.26,3,138,10,VFT/MA/60566
874574682931787348,Camper/RV in Málaga · 1 bedroom · 1 bed · 0 baths,24813259,Vanessa,,Churriana,36.67079,-4.47953,Entire home/apt,58,2,2,2023-08-02,0.25,2,160,2,Exempt
875068862631799646,Rental unit in Málaga · ★4.95 · 2 bedrooms · 4 beds · 1 bath,211999527,Jose Maria,,Centro,36.71452278748246,-4.424399492590334,Entire home/apt,134,1,20,2023-12-29,2.60,1,138,20,VFT/MA/18722
875372707840847980,Rental unit in Málaga · ★4.0 · 1 bedroom · 1 bed · 1 bath,225957511,Luchi,,Centro,36.73035,-4.41518,Entire home/apt,73,1,5,2023-12-09,0.61,4,362,5,VTF/MA/60898
875427434498802856,Rental unit in Málaga · 1 bedroom · 2 beds · 1 bath,489887847,Denis,,Centro,36.72925,-4.42262,Entire home/apt,111,1,2,2023-06-25,0.25,1,92,2,VFT/MA/63598
875444252420954704,Rental unit in Málaga · ★5.0 · 1 bedroom · 4 beds · 1.5 baths,505842233,Keltoum,,Churriana,36.66579199875211,-4.4617752358317375,Entire home/apt,112,6,9,2023-10-06,1.50,1,185,9,CTC-2023079274
875877755878302691,Rental unit in Málaga · ★4.96 · 1 bedroom · 1 bed · 2 baths,42266923,Alejandro,,Centro,36.72855,-4.41094,Private room,42,3,26,2023-12-21,3.20,4,176,26,VFT/MA/55724
